algorithm,data_type,n,run_id,time_sec,inspections
verificaAlgo,random,1000,11,155.84334596,1247500000
linearSearch,random,1000,11,0.00000018,1
verificaAlgo,random,1000,12,155.64735942,1247500000
linearSearch,random,1000,12,0.00000026,1
verificaAlgo,random,1000,13,155.49107112,1247500000
linearSearch,random,1000,13,0.00000017,1
verificaAlgo,asc,100,1,0.21414526,12250000
linearSearch,asc,100,1,0.00000004,1
verificaAlgo,asc,100,2,0.21342482,12250000
linearSearch,asc,100,2,0.00000004,1
verificaAlgo,asc,100,3,0.21244327,12250000
linearSearch,asc,100,3,0.00000003,1
verificaAlgo,asc,100,4,0.21353530,12250000
linearSearch,asc,100,4,0.00000004,1
verificaAlgo,asc,100,5,0.21342949,12250000
linearSearch,asc,100,5,0.00000004,1
verificaAlgo,asc,100,6,0.21358500,12250000
linearSearch,asc,100,6,0.00000003,1
verificaAlgo,asc,100,7,0.21383944,12250000
linearSearch,asc,100,7,0.00000003,1
verificaAlgo,asc,100,8,0.21254406,12250000
linearSearch,asc,100,8,0.00000004,1
verificaAlgo,asc,100,9,0.21463471,12250000
linearSearch,asc,100,9,0.00000003,1
verificaAlgo,asc,100,10,0.21448144,12250000
linearSearch,asc,100,10,0.00000003,1
verificaAlgo,asc,100,11,0.21413545,12250000
linearSearch,asc,100,11,0.00000003,1
verificaAlgo,asc,100,12,0.21495030,12250000
linearSearch,asc,100,12,0.00000004,1
verificaAlgo,asc,100,13,0.21442448,12250000
linearSearch,asc,100,13,0.00000004,1
verificaAlgo,asc,300,1,4.68590703,111750000
linearSearch,asc,300,1,0.00000007,1
verificaAlgo,asc,300,2,4.70164104,111750000
linearSearch,asc,300,2,0.00000007,1
verificaAlgo,asc,300,3,4.65712587,111750000
linearSearch,asc,300,3,0.00000007,1
verificaAlgo,asc,300,4,4.65217307,111750000
linearSearch,asc,300,4,0.00000008,1
verificaAlgo,asc,300,5,4.66981683,111750000
linearSearch,asc,300,5,0.00000011,1
verificaAlgo,asc,300,6,4.64438117,111750000
linearSearch,asc,300,6,0.00000007,1
verificaAlgo,asc,300,7,4.68143258,111750000
linearSearch,asc,300,7,0.00000006,1
verificaAlgo,asc,300,8,4.64692964,111750000
linearSearch,asc,300,8,0.00000006,1
verificaAlgo,asc,300,9,4.84113153,111750000
linearSearch,asc,300,9,0.00000006,1
verificaAlgo,asc,300,10,4.64805981,111750000
linearSearch,asc,300,10,0.00000006,1
verificaAlgo,asc,300,11,4.65502132,111750000
linearSearch,asc,300,11,0.00000006,1
verificaAlgo,asc,300,12,4.67158908,111750000
linearSearch,asc,300,12,0.00000006,1
verificaAlgo,asc,300,13,4.63681311,111750000
linearSearch,asc,300,13,0.00000006,1
verificaAlgo,asc,500,1,20.46202798,311250000
linearSearch,asc,500,1,0.00000009,1
verificaAlgo,asc,500,2,20.44691292,311250000
linearSearch,asc,500,2,0.00000009,1
verificaAlgo,asc,500,3,20.46882505,311250000
linearSearch,asc,500,3,0.00000010,1
verificaAlgo,asc,500,4,20.41519530,311250000
linearSearch,asc,500,4,0.00000009,1
verificaAlgo,asc,500,5,20.45207975,311250000
linearSearch,asc,500,5,0.00000011,1
verificaAlgo,asc,500,6,20.44668479,311250000
linearSearch,asc,500,6,0.00000008,1
verificaAlgo,asc,500,7,20.33433202,311250000
linearSearch,asc,500,7,0.00000008,1
verificaAlgo,asc,500,8,20.45673549,311250000
linearSearch,asc,500,8,0.00000008,1
verificaAlgo,asc,500,9,20.43192239,311250000
linearSearch,asc,500,9,0.00000008,1
verificaAlgo,asc,500,10,20.33753117,311250000
linearSearch,asc,500,10,0.00000009,1
verificaAlgo,asc,500,11,20.34807777,311250000
linearSearch,asc,500,11,0.00000010,1
verificaAlgo,asc,500,12,20.38058357,311250000
linearSearch,asc,500,12,0.00000009,1
verificaAlgo,asc,500,13,20.42527980,311250000
linearSearch,asc,500,13,0.00000010,1
verificaAlgo,asc,700,1,54.63900480,610750000
linearSearch,asc,700,1,0.00000014,1
verificaAlgo,asc,700,2,54.64050711,610750000
linearSearch,asc,700,2,0.00000012,1
verificaAlgo,asc,700,3,54.50881556,610750000
linearSearch,asc,700,3,0.00000016,1
verificaAlgo,asc,700,4,54.40964635,610750000
linearSearch,asc,700,4,0.00000014,1
verificaAlgo,asc,700,5,54.44320127,610750000
linearSearch,asc,700,5,0.00000011,1
verificaAlgo,asc,700,6,54.46909523,610750000
linearSearch,asc,700,6,0.00000014,1
verificaAlgo,asc,700,7,54.38169608,610750000
linearSearch,asc,700,7,0.00000015,1
verificaAlgo,asc,700,8,54.35348129,610750000
linearSearch,asc,700,8,0.00000011,1
verificaAlgo,asc,700,9,54.37114102,610750000
linearSearch,asc,700,9,0.00000012,1
verificaAlgo,asc,700,10,54.42490009,610750000
linearSearch,asc,700,10,0.00000015,1
verificaAlgo,asc,700,11,54.29317252,610750000
linearSearch,asc,700,11,0.00000013,1
verificaAlgo,asc,700,12,54.01579820,610750000
linearSearch,asc,700,12,0.00000014,1
verificaAlgo,asc,700,13,54.43428170,610750000
linearSearch,asc,700,13,0.00000013,1
verificaAlgo,asc,1000,1,153.60890980,1247500000
linearSearch,asc,1000,1,0.00000015,1
verificaAlgo,asc,1000,2,153.79552475,1247500000
linearSearch,asc,1000,2,0.00000017,1
verificaAlgo,asc,1000,3,154.15199357,1247500000
linearSearch,asc,1000,3,0.00000019,1
verificaAlgo,asc,1000,4,154.44054176,1247500000
linearSearch,asc,1000,4,0.00000016,1
verificaAlgo,asc,1000,5,154.57564544,1247500000
linearSearch,asc,1000,5,0.00000018,1
verificaAlgo,asc,1000,6,154.73047150,1247500000
linearSearch,asc,1000,6,0.00000017,1
verificaAlgo,asc,1000,7,154.92889862,1247500000
linearSearch,asc,1000,7,0.00000018,1
verificaAlgo,asc,1000,8,156.73539656,1247500000
linearSearch,asc,1000,8,0.00000018,1
verificaAlgo,asc,1000,9,156.38196910,1247500000
linearSearch,asc,1000,9,0.00000018,1
verificaAlgo,asc,1000,10,154.81095933,1247500000
linearSearch,asc,1000,10,0.00000017,1
verificaAlgo,asc,1000,11,155.06145486,1247500000
linearSearch,asc,1000,11,0.00000016,1
verificaAlgo,asc,1000,12,155.10620720,1247500000
linearSearch,asc,1000,12,0.00000019,1
verificaAlgo,asc,1000,13,155.13374058,1247500000
linearSearch,asc,1000,13,0.00000017,1
verificaAlgo,desc,100,1,0.21502335,12250000
linearSearch,desc,100,1,0.00000008,1
verificaAlgo,desc,100,2,0.21949459,12250000
linearSearch,desc,100,2,0.00000003,1
verificaAlgo,desc,100,3,0.21313636,12250000
